Course Code,Course Name,LTP,Credit,Type
CB3211,Catalysis Science and Engineering,3-0-0,3.0,DE1
CB3212,Biopharmaceutical Downstream Processing,3-0-0,3.0,DE1
CB3213,Material Science and Engineering,3-0-0,3.0,DE1
CB3214, Introduction to Microfluidics Technology,3-0-0,3.0,DE1
CB4111,Industrial Pollution Control,3-0-0,3.0,DE2
CB4112,Introduction to Computational Biology,3-0-0,3.0,DE2
CB4113,Molecular Modeling and Simulation,3-0-0,3.0,DE2
CB4114,Electrochemical Energy Systems,3-0-0,3.0,DE3
CB4115,Fertilizer Technology,3-0-0,3.0,DE3
CB4116,Nanomaterials,3-0-0,3.0,DE3
CB4117, Combustion Engineering and Technology,3-0-0,3.0,DE3
CB4211,Membrane Separation,3-0-0,3.0,DE4
CB4212,Energy Storage: Technologies and Applications,3-0-0,3.0,DE4
CB4213,Process Integration,3-0-0,3.0,DE4
CB4214,Renewable Energy Sources,3-0-0,3.0,DE5
CB4215,Advanced Separation Processes,3-0-0,3.0,DE5
CB4216,Fluidization Engineering,3-0-0,3.0,DE5
CB4217,Energy Management,3-0-0,3.0,DE6
CB4218,Heterogeneous Catalysis: Fundamentals and Applications,3-0-0,3.0,DE6
CB4219,Polymer Science and Technology,3-0-0,3.0,DE6
CB4220,Petroleum Refinery Engineering,3-0-0,3.0,DE6
CB2280,Environmental Science and Engineering,3-0-0,3.0,IDE1
CB3180,Introduction to Sustainable Engineering,3-0-0,3.0,IDE2
CB4180,Bioprocess Engineering,3-0-0,3.0,IDE3
CE2290,Construction Technology and Management,3-0-0,3.0,IDE1
CE3190,Green Building,3-0-0,3.0,IDE2
CE4190,Smart Transportation,3-0-0,3.0,IDE3
CE4191,Industrial Pollution and Control,3-0-0,3.0,IDE3
CE4101,Introduction to Bridge Engineering,3-0-0,3.0,DE1
CE4102,Prestressed and Precast Concrete Structures,3-0-0,3.0,DE1
CE4103,Fundamentals of Solid Mechanics,3-0-0,3.0,DE1
CE4104,Matrix Method for Structural Analysis,3-0-0,3.0,DE1
CE4105,Stochastic Hydrology,3-0-0,3.0,DE2
CE4106,Irrigation Engineering and Hydraulic Structures,3-0-0,3.0,DE2
CE4107,Elementary Soil Behaviour,3-0-0,3.0,DE2
CE4108,Fundamentals of Geoenvironmental Engg.,3-0-0,3.0,DE2
CE4109,Biogeotechnical Engineering,3-0-0,3.0,DE2
CE4110,Pavement Geotechnology,3-0-0,3.0,DE2
CE4201,Elements of Remote Sensing and GIS,3-0-0,3.0,DE3
CE4202,Introduction to Soil Structure Interaction,3-0-0,3.0,DE3
CE4203,Introduction to Underground Excavation,3-0-0,3.0,DE3
CE4204,Multiphysical Processes in fractured rocks,3-0-0,3.0,DE3
CE4205,Rock Engineering for Hydropower Projects,3-0-0,3.0,DE3
CE4206,Fundamentals of Forensic Geotech Engineering,3-0-0,3.0,DE3
CE4207,Ground Improvement for Civil Engineering Structures,3-0-0,3.0,DE3
CE4208,Solid Waste Engineering,3-0-0,3.0,DE4
CE4209,Air Pollution Engineering,3-0-0,3.0,DE4
CE4210,Introduction to Geotechnical Earthquake Engineering,3-0-0,3.0,DE5
CE4211,Structural Dynamics and Earthquake Engineering,3-0-0,3.0,DE5
CE4212,Rehabilitation of Structures,3-0-0,3.0,DE5
CE4213,Introduction to Structural Health Monitoring,3-0-0,3.0,DE5
CH3206,Metal Ions in Chemical Biology,3-0-0,3.0,DE1
CH3207,Petroleum and Petrochemicals,3-0-0,3.0,DE1
CH4107,Drug Design and Development,3-0-0,3.0,DE2
CH4108,"Dyes, Paints and Pigments",3-0-0,3.0,DE2
