1368,Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor,Comments,,,1368,Example,Course Code,Course Name,LTP,Credit,Type,offered_for_minor
33.36585366,,Eg. Mtech in Geotechnical ,,,,,,,,,,,,,,,,,,,
Biswajit Sarkar,,,,,,,,,,,,,,,,CS2101,Algorithm,3-0-3,4.5,Core,1
0,Department of Chemical and Biochemical Engineering,,,MA1101,1,Calculus and Linear Algebra,3-1-0,4,Core,0,,,Type,,,CS2102,Digital Logic and Computer Organization,3-0-3,4.5,,0
1,Department of Chemical and Biochemical Engineering,,,CS1101,1,Foundations of Programming,3-0-3,4.5,Core,0,,,BTE1,,,CS2103,,,,,
2,Department of Chemical and Biochemical Engineering,,,PH1101/PH1201,1,Physics,3-1-3,5.5,Core,0,,,BTE2,,,CS2104,,,,,
3,Department of Chemical and Biochemical Engineering,,,CE1101/CE1201,1,Engineering Graphics,1-0-3,2.5,Core,0,,,BTE3,,,CS2105,,,,,
4,Department of Chemical and Biochemical Engineering,,,EE1101/EE1201,1,Electrical Sciences,3-0-3,4.5,Core,0,,,Core,,,,,,,,
5,Department of Chemical and Biochemical Engineering,,,HS1101,1,English for Professionals,2-0-1,2.5,Core,0,,,DE1,,,,,,,,
6,Department of Chemical and Biochemical Engineering,,,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0,,,DE2,,,,,,,,
7,Department of Chemical and Biochemical Engineering,,,CS1201,2,Data Structure,3-0-3,4.5,Core,0,,,DE3,,,,,,,,
8,Department of Chemical and Biochemical Engineering,,,CH1201/CH1101,2,Chemistry,3-1-3,5.5,Core,0,,,DE4,,,,,,,,
9,Department of Chemical and Biochemical Engineering,,,ME1201/ME1101,2,Mechanical Fabrication,0-0-3,1.5,Core,0,,,DE5,,,,,,,,
10,Department of Chemical and Biochemical Engineering,,,ME1202/ME1102,2,Engineering Mechanics,3-1-0,4,Core,0,,,DE6,,,,,,,,
11,Department of Chemical and Biochemical Engineering,,,IK1101,2,Indian Knowledge System (IKS),3-0-0,3,IKS,0,,,HS1,,,,,,,,
12,Department of Chemical and Biochemical Engineering,,,CB2101,3,Introduction to Chemical Engineering,2-0-0,2,Core,0,,,HS2,,,,,,,,
13,Department of Chemical and Biochemical Engineering,,,CB2102,3,Fluid Mechanics,3-1-2,5,Core,0,,,IDE1,,,,,,,,
14,Department of Chemical and Biochemical Engineering,,,CB2103,3,Heat Transfer,3-0-3,4.5,Core,0,,,IDE2,,,,,,,,
15,Department of Chemical and Biochemical Engineering,,,CB2104,3,Chemical Process Calculations,3-1-0,4,Core,0,,,IDE3,,,,,,,,
16,Department of Chemical and Biochemical Engineering,,,CB2105,3,"Chemical Engineering Thermodynamics",3-0-0,3,Core,0,,,IKS,,,,,,,,
17,Department of Chemical and Biochemical Engineering,,,HS21PQ,3,HSS Elective-I,3-0-0,3,HS1,0,,,MTE1,,,,,,,,
18,Department of Chemical and Biochemical Engineering,,,CB2201,4,"Mechanical Operations	",2-0-3,3.5,Core,0,,,MTE2,,,,,,,,
19,Department of Chemical and Biochemical Engineering,,,CB2202,4,Mass Transfer-I,3-0-0,3,Core,0,,,MTE3,,,,,,,,
20,Department of Chemical and Biochemical Engineering,,,CB2203,4,Fundamentals of Biochemical Engineering,3-0-0,3,Core,0,,,MTE4,,,,,,,,
21,Department of Chemical and Biochemical Engineering,,,CB2204,4,Process Dynamics and Control,3-0-2,4,Core,0,,,RM,,,,,,,,
22,Department of Chemical and Biochemical Engineering,,,CB2205,4,Chemical Reaction Engineering-I,3-0-0,3,Core,0,,,SI,,,,,,,,
23,Department of Chemical and Biochemical Engineering,,,CB22PQ,4,IDE1,3-0-0,3,IDE1,0,,,P1,,,,,,,,
24,Department of Chemical and Biochemical Engineering,,,CB3101,5,Mass Transfer-II,3-0-3,4.5,Core,0,,,P2,,,,,,,,
25,Department of Chemical and Biochemical Engineering,,,CB3102,5,Chemical Process Technology,3-0-0,3,Core,0,,,,,,,,,,,
26,Department of Chemical and Biochemical Engineering,,,CB3103,5,Process Equipment Design,1-2-0,3,Core,0,,,,,,,,,,,
