Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB3211,6,Catalysis Science and Engineering,3-0-0,3.0,DE1
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB3212,6,Biopharmaceutical Downstream Processing,3-0-0,3.0,DE1
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB3213,6,Material Science and Engineering,3-0-0,3.0,DE1
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB3214,6, Introduction to Microfluidics Technology,3-0-0,3.0,DE1
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4111,7,Industrial Pollution Control,3-0-0,3.0,DE2
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4112,7,Introduction to Computational Biology,3-0-0,3.0,DE2
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4113,7,Molecular Modeling and Simulation,3-0-0,3.0,DE2
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4114,7,Electrochemical Energy Systems,3-0-0,3.0,DE3
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4115,7,Fertilizer Technology,3-0-0,3.0,DE3
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4116,7,Nanomaterials,3-0-0,3.0,DE3
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4117,7, Combustion Engineering and Technology,3-0-0,3.0,DE3
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4211,8,Membrane Separation,3-0-0,3.0,DE4
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4212,8,Energy Storage: Technologies and Applications,3-0-0,3.0,DE4
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4213,8,Process Integration,3-0-0,3.0,DE4
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4214,8,Renewable Energy Sources,3-0-0,3.0,DE5
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4215,8,Advanced Separation Processes,3-0-0,3.0,DE5
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4216,8,Fluidization Engineering,3-0-0,3.0,DE5
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4217,8,Energy Management,3-0-0,3.0,DE6
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4218,8,Heterogeneous Catalysis: Fundamentals and Applications,3-0-0,3.0,DE6
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4219,8,Polymer Science and Technology,3-0-0,3.0,DE6
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB4220,8,Petroleum Refinery Engineering,3-0-0,3.0,DE6
Department of Chemical and Biochemical Engineering,B. Tech. in Chemical Engineering and Minor in Chemical Engineering.,,CB2280,4,Environmental Science and Engineering,3-0-0,3.0,IDE1
