Parent Department,Specialization,Roll Number,Course Code,Semester #,Course Name,LTP,Credit,Type,offered_for_minor
Department of Chemical and Biochemical Engineering,,,MA1101,1,Calculus and Linear Algebra,3-1-0,4,Core,0.0
Department of Chemical and Biochemical Engineering,,,CS1101,1,Foundations of Programming,3-0-3,4.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,PH1101/PH1201,1,Physics,3-1-3,5.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,CE1101/CE1201,1,Engineering Graphics,1-0-3,2.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,EE1101/EE1201,1,Electrical Sciences,3-0-3,4.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,HS1101,1,English for Professionals,2-0-1,2.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0.0
Department of Chemical and Biochemical Engineering,,,CS1201,2,Data Structure,3-0-3,4.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,CH1201/CH1101,2,Chemistry,3-1-3,5.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,ME1201/ME1101,2,Mechanical Fabrication,0-0-3,1.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,ME1202/ME1102,2,Engineering Mechanics,3-1-0,4,Core,0.0
Department of Chemical and Biochemical Engineering,,,IK1101,2,Indian Knowledge System (IKS),3-0-0,3,IKS,0.0
Department of Chemical and Biochemical Engineering,,,CB2101,3,Introduction to Chemical Engineering,2-0-0,2,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB2102,3,Fluid Mechanics,3-1-2,5,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB2103,3,Heat Transfer,3-0-3,4.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB2104,3,Chemical Process Calculations,3-1-0,4,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB2105,3,"Chemical Engineering Thermodynamics
",3-0-0,3,Core,0.0
Department of Chemical and Biochemical Engineering,,,HS21PQ,3,HSS Elective-I,3-0-0,3,HS1,0.0
Department of Chemical and Biochemical Engineering,,,CB2201,4,"Mechanical Operations	
",2-0-3,3.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB2202,4,Mass Transfer-I,3-0-0,3,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB2203,4,Fundamentals of Biochemical Engineering,3-0-0,3,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB2204,4,Process Dynamics and Control,3-0-2,4,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB2205,4,Chemical Reaction Engineering-I,3-0-0,3,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB22PQ,4,IDE1,3-0-0,3,IDE1,0.0
Department of Chemical and Biochemical Engineering,,,CB3101,5,Mass Transfer-II,3-0-3,4.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB3102,5,Chemical Process Technology,3-0-0,3,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB3103,5,Process Equipment Design,1-2-0,3,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB3104,5,Chemical Reaction Engineering-II,3-0-2,4,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB3105,5,Chemical Process Modeling and Simulation,2-0-3,3.5,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB31PQ,5,IDE1I,3-0-0,3,IDE2,0.0
Department of Chemical and Biochemical Engineering,,,CB3201,6,Process Plant Design and Economics,3-0-0,3,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB3202,6,Transport Phenomena,3-1-0,4,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB3203,6,Numerical Methods in Chemical Engineering,3-1-0,4,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB3204,6,AI/ML for Chemical Engineers,1-0-4,3,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB3205,6,Chemical Plant Safety and Hazards,3-0-0,3,Core,0.0
Department of Chemical and Biochemical Engineering,,,CB32PQ,6,DE1,3-0-0,3,DE1,0.0
Department of Chemical and Biochemical Engineering,,,CB41PQ,7,DE1I,3-0-0,3,DE2,0.0
Department of Chemical and Biochemical Engineering,,,CB41PQ,7,DE1II,3-0-1,3,DE3,0.0
Department of Chemical and Biochemical Engineering,,,XX41PQ,7,IDE1II,3-0-2,3,IDE3,0.0
Department of Chemical and Biochemical Engineering,,,HS31PQ,7,HSS Elective-II,3-0-3,3,HS2,0.0
Department of Chemical and Biochemical Engineering,,,CB4198,7,Summer Internship*,0-0-12,3,SI,0.0
Department of Chemical and Biochemical Engineering,,,CB4199,7,Project   I,0-0-12,6,P1,0.0
Department of Chemical and Biochemical Engineering,,,CB42PQ,8,DE1V,3-0-0,3,DE4,0.0
Department of Chemical and Biochemical Engineering,,,CB42PQ,8,DE5,3-0-0,3,DE5,0.0
Department of Chemical and Biochemical Engineering,,,CB4298,8,DE5I,3-0-0,3,DE6,0.0
Department of Chemical and Biochemical Engineering,,,CB4299,8,Project   II,0-0-16,8,P2,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,MA1101,1,Calculus and Linear Algebra,3-1-0,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CS1101,1,Foundations of Programming ,3-0-3,4.5,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,PH1101/PH1201,1,Physics,3-1-3,5.5,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE1101/CE1201,1,Engineering Graphics,1-0-3,2.5,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,EE1101/EE1201,1,Electrical Sciences,3-0-3,4.5,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,HS1101,1,English for Professionals,2-0-1,2.5,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,MA1201,2,Probability Theory and Ordinary Differential Equations,3-1-0,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CS1201,2,Data Structure,3-0-3,4.5,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CH1201/CH1101,2,Chemistry,3-1-3,5.5,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,ME1201/ME1101,2,Mechanical Fabrication,0-0-3,1.5,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,ME1202/ME1102,2,Engineering Mechanics,3-1-0,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,IK1101,2,Indian Knowledge System(IKS),3-0-0,3,IKS,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2101,3,Geomatics Engineering,3-1-2,5,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2102,3,Structural Mechanics,3-1-0,4,Core,1.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2103,3,Fluid Mechanics ,3-1-2,5,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2104,3,Geology for Engineers ,3-0-2,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,HS21PQ,3,HSS Elective I ,3-0-0,3,HS1,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2201,4,Structural Analysis ,3-0-2,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2202,4,Soil Mechanics,3-0-2,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2203,4,Civil Engineering Materials,3-0-2,4,Core,1.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2204,4,Water Resource Engineering - 1,3-0-0,3,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE2205,4,Numerical Methods in Civil Engineering,3-0-0,3,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE22PQ,4,IDE1,3-0-0,3,IDE1,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3101,5,Design of Reinforced Concrete Structures,3-0-2,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3102,5,Foundation Engineering  ,3-0-2,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3103,5,Transportation Engineering - 1,3-1-2,5,Core,1.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3104,5,Environmental Engineering - 1,3-0-2,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3190,5,IDE2,3-0-0,3,IDE2,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3201,6,Design of Steel Structures,3-1-0,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3202,6,Infrastructure Drawing and Estimation ,1-2-0,3,Core,1.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3203,6,Construction Planning & Management,3-0-0,3,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3204,6,Environmental Engineering - 2,3-1-0,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3205,6,Water Resource Engineering - 2,3-0-2,4,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE3206,6,Transportation Engineering - 2,3-0-0,3,Core,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE41PQ,7,DE1,3-0-0,3,DE1,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE41PQ,7,DE2,3-0-0,3,DE2,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,CE41PQ,7,IDE3,3-0-0,3,IDE3,0.0
Civil and Environmental Engineering,B. Tech. in Civil Engineering,2401CE,HS41PQ,7,HS2,3-0-0,3,HS2,0.0
