roll,sem,course_code,type,floated,offered_for_minor,fac_empid,fac_masterid,comment1,comment2
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,1,MA1101,CORE,1,0.0,,,,
,1,CS1101,CORE,1,0.0,,,,
,1,PH1101/PH1201,CORE,1,0.0,,,,
,1,CE1101/CE1201,CORE,1,0.0,,,,
,1,EE1101/EE1201,CORE,1,0.0,,,,
,1,HS1101,CORE,1,0.0,,,,
,2,MA1201,CORE,1,0.0,,,,
,2,CS1201,CORE,1,0.0,,,,
,2,CH1201/CH1101,CORE,1,0.0,,,,
,2,ME1201/ME1101,CORE,1,0.0,,,,
,2,ME1202/ME1102,CORE,1,0.0,,,,
,2,IK1101,IKS,1,0.0,,,,
,3,CB2101,CORE,1,0.0,,,,
,3,CB2102,CORE,1,0.0,,,,
,3,CB2103,CORE,1,0.0,,,,
,3,CB2104,CORE,1,0.0,,,,
,3,CB2105,CORE,1,0.0,,,,
,4,CB2201,CORE,1,0.0,,,,
,4,CB2202,CORE,1,0.0,,,,
,4,CB2203,CORE,1,0.0,,,,
,4,CB2204,CORE,1,0.0,,,,
,4,CB2205,CORE,1,0.0,,,,
,5,CB3101,CORE,1,0.0,,,,
,5,CB3102,CORE,1,0.0,,,,
,5,CB3103,CORE,1,0.0,,,,
,5,CB3104,CORE,1,0.0,,,,
,5,CB3105,CORE,1,0.0,,,,
,6,CB3201,CORE,1,0.0,,,,
,6,CB3202,CORE,1,0.0,,,,
,6,CB3203,CORE,1,0.0,,,,
,6,CB3204,CORE,1,0.0,,,,
,6,CB3205,CORE,1,0.0,,,,
,7,CB4198,SI,1,0.0,,,,
,7,CB4199,P1,1,0.0,,,,
,8,CB4299,P2,1,0.0,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
2401CE,1,MA1101,CORE,1,0.0,,,,
2401CE,1,CS1101,CORE,1,0.0,,,,
2401CE,1,PH1101/PH1201,CORE,1,0.0,,,,
2401CE,1,CE1101/CE1201,CORE,1,0.0,,,,
2401CE,1,EE1101/EE1201,CORE,1,0.0,,,,
2401CE,1,HS1101,CORE,1,0.0,,,,
2401CE,2,MA1201,CORE,1,0.0,,,,
2401CE,2,CS1201,CORE,1,0.0,,,,
2401CE,2,CH1201/CH1101,CORE,1,0.0,,,,
2401CE,2,ME1201/ME1101,CORE,1,0.0,,,,
2401CE,2,ME1202/ME1102,CORE,1,0.0,,,,
2401CE,2,IK1101,IKS,1,0.0,,,,
2401CE,3,CE2101,CORE,1,0.0,,,,
2401CE,3,CE2102,CORE,1,1.0,,,,
2401CE,3,CE2103,CORE,1,0.0,,,,
2401CE,3,CE2104,CORE,1,0.0,,,,
2401CE,4,CE2201,CORE,1,0.0,,,,
2401CE,4,CE2202,CORE,1,0.0,,,,
2401CE,4,CE2203,CORE,1,1.0,,,,
2401CE,4,CE2204,CORE,1,0.0,,,,
2401CE,4,CE2205,CORE,1,0.0,,,,
2401CE,5,CE3101,CORE,1,0.0,,,,
2401CE,5,CE3102,CORE,1,0.0,,,,
2401CE,5,CE3103,CORE,1,1.0,,,,
2401CE,5,CE3104,CORE,1,0.0,,,,
2401CE,6,CE3201,CORE,1,0.0,,,,
2401CE,6,CE3202,CORE,1,1.0,,,,
2401CE,6,CE3203,CORE,1,0.0,,,,
2401CE,6,CE3204,CORE,1,0.0,,,,
2401CE,6,CE3205,CORE,1,0.0,,,,
2401CE,6,CE3206,CORE,1,0.0,,,,
2401CE,7,CE4198,SI,1,0.0,,,,
2401CE,7,CE4199,P1,1,0.0,,,,
2401CE,8,CE4299,P2,1,0.0,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
2401CT,1,MA1101,CORE,1,0.0,,,,
2401CT,1,CS1101,CORE,1,0.0,,,,
2401CT,1,,CORE,1,0.0,,,,
2401CT,1,,CORE,1,0.0,,,,
2401CT,1,,CORE,1,0.0,,,,
2401CT,1,HS1101,CORE,1,0.0,,,,
2401CT,2,MA1201,CORE,1,0.0,,,,
2401CT,2,CS1201,CORE,1,0.0,,,,
2401CT,2,,CORE,1,0.0,,,,
2401CT,2,,CORE,1,0.0,,,,
2401CT,2,,CORE,1,0.0,,,,
2401CT,2,IK1101,IKS,1,0.0,,,,
2401CT,3,CH2101,CORE,1,0.0,,,,
2401CT,3,CH2102,CORE,1,0.0,,,,
2401CT,3,CH2103,CORE,1,0.0,,,,
2401CT,3,CH2104,CORE,1,0.0,,,,
2401CT,3,CH2105,CORE,1,0.0,,,,
2401CT,4,CH2201,CORE,1,0.0,,,,
2401CT,4,CH2202,CORE,1,1.0,,,,
2401CT,4,CH2203,CORE,1,0.0,,,,
2401CT,4,CH2204,CORE,1,0.0,,,,
2401CT,4,CH2205,CORE,1,0.0,,,,
2401CT,5,CH3101,CORE,1,1.0,,,,
2401CT,5,CH3102,CORE,1,0.0,,,,
2401CT,5,CH3103,CORE,1,0.0,,,,
2401CT,5,CH3104,CORE,1,1.0,,,,
2401CT,5,CH3105,CORE,1,0.0,,,,
2401CT,6,CH3201,CORE,1,0.0,,,,
2401CT,6,CH3202,CORE,1,0.0,,,,
2401CT,6,CH3203,CORE,1,1.0,,,,
2401CT,6,CH3204,CORE,1,0.0,,,,
2401CT,6,CH3205,CORE,1,0.0,,,,
2401CT,7,CH4198,SI,1,0.0,,,,
2401CT,7,CH4199,P1,1,0.0,,,,
2401CT,8,CH4299,P2,1,0.0,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
2401AI,1,MA1101,CORE,1,0.0,,,,
2401AI,1,CS1101,CORE,1,0.0,,,,
2401AI,1,PH1101/PH1201,CORE,1,0.0,,,,
2401AI,1,CE1101/CE1201,CORE,1,0.0,,,,
2401AI,1,EE1101/EE1201,CORE,1,0.0,,,,
2401AI,2,MA1201,CORE,1,0.0,,,,
2401AI,2,CS1201,CORE,1,0.0,,,,
2401AI,2,CH1201/CH1101,CORE,1,0.0,,,,
2401AI,2,ME1201/ME1101,CORE,1,0.0,,,,
2401AI,2,ME1202/ME1102,CORE,1,0.0,,,,
2401AI,2,IK1101,IKS,1,0.0,,,,
2401AI,3,CS2101,CORE,1,0.0,,,,
2401AI,3,CS2102,CORE,1,0.0,,,,
2401AI,2,CS2103,CORE,1,1.0,,,,
2401AI,3,CS2104,CORE,1,0.0,,,,
2401AI,3,CS2105,CORE,1,0.0,,,,
2401AI,4,CS2201,CORE,1,0.0,,,,
2401AI,4,CS2202,CORE,1,1.0,,,,
2401AI,4,CS2203,CORE,1,0.0,,,,
2401AI,4,CS2204,CORE,1,0.0,,,,
2401AI,4,CS2206,CORE,1,0.0,,,,
2401AI,5,CS3101,CORE,1,0.0,,,,
2401AI,5,CS3102,CORE,1,0.0,,,,
2401AI,5,CS3103,CORE,1,1.0,,,,
2401AI,5,CS3105,CORE,1,0.0,,,,
2401AI,6,CS3201,CORE,1,0.0,,,,
2401AI,6,CS3202,CORE,1,0.0,,,,
2401AI,6,CS3204,CORE,1,0.0,,,,
2401AI,6,CS3299,CORE,1,0.0,,,,
2401AI,7,CS4198,SI/SP,1,0.0,,,,
2401AI,7,CS4199,P1,1,0.0,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
2401CS,1,MA1101,CORE,1,0.0,,,,
2401CS,1,CS1101,CORE,1,0.0,,,,
2401CS,1,PH1101/PH1201,CORE,1,0.0,,,,
2401CS,1,CE1101/CE1201,CORE,1,0.0,,,,
2401CS,1,EE1101/EE1201,CORE,1,0.0,,,,
2401CS,2,MA1201,CORE,1,0.0,,,,
2401CS,2,CS1201,CORE,1,0.0,,,,
2401CS,2,CH1201/CH1101,CORE,1,0.0,,,,
2401CS,2,ME1201/ME1101,CORE,1,0.0,,,,
2401CS,2,ME1202/ME1102,CORE,1,0.0,,,,
2401CS,2,IK1101,IKS,1,0.0,,,,
2401CS,3,CS2101,CORE,1,1.0,,,,
2401CS,3,CS2102,CORE,1,0.0,,,,
2401CS,3,CS2103,CORE,1,0.0,,,,
2401CS,3,CS2104,CORE,1,0.0,,,,
2401CS,3,CS2105,CORE,1,0.0,,,,
2401CS,4,CS2201,CORE,1,0.0,,,,
2401CS,4,CS2202,CORE,1,1.0,,,,
2401CS,4,CS2203,CORE,1,0.0,,,,
2401CS,4,CS2204,CORE,1,0.0,,,,
2401CS,4,CS2205,CORE,1,0.0,,,,
2401CS,5,CS3101,CORE,1,1.0,,,,
2401CS,5,CS3102,CORE,1,0.0,,,,
2401CS,5,CS3103,CORE,1,0.0,,,,
2401CS,5,CS3104,CORE,1,0.0,,,,
2401CS,6,CS3201,CORE,1,1.0,,,,
2401CS,6,CS3202,CORE,1,0.0,,,,
2401CS,6,CS3203,CORE,1,0.0,,,,
2401CS,6,CS3299,CORE,1,0.0,,,,
2401CS,7,CS4198,SI,1,0.0,,,,
2401CS,7,CS4199,P1,1,0.0,,,,
2401CS,8,CS4299,P2,1,0.0,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
,,,NAN,1,,,,,
2401EC,1,MA1101,CORE,1,0.0,,,,
2401EC,1,CS1101,CORE,1,0.0,,,,
2401EC,1,PH1101/PH1201,CORE,1,0.0,,,,
2401EC,1,CE1101/CE1201,CORE,1,0.0,,,,
2401EC,1,EE1101/EE1201,CORE,1,0.0,,,,
2401EC,2,MA1201,CORE,1,0.0,,,,
2401EC,2,CS1201,CORE,1,0.0,,,,
2401EC,2,CH1201/CH1101,CORE,1,0.0,,,,
2401EC,2,ME1201/ME1101,CORE,1,0.0,,,,
2401EC,2,ME1202/ME1102,CORE,1,0.0,,,,
