Parent Department,Course,Specialization,Minor Offered in,Roll Number,Sem 1,Sem 2,Sem 3,Sem 4,Sem 5,Sem 6,Sem 7,Sem 8,Sem 9,Sem 10,Sem 11,Sem 12
Civil Engineering,Btech,Civil Engineering,,2401CE,"C,C,C,C,C,HS1","C,C,C,C,C,IKS","C,C,C,C,HS1",,,,"DE1,DE2,IDE3,HS2,SI,C",,,,,
Computer Science and Engineering,Btech,Computer Science and Engineering,Computer Science and Engineering,2401CS,"C,C,C,C,C,HS1","C,C,C,C,C,IKS","C,C,C,C,C,HS1","C,C,C,C,C,IDE1","C,C,C,C,IDE2","C,C,C,C,DE1","DE2,DE3,IDE3,HS2,SI,P1","DE4,DE5,DE6,P2",,,,
Computer Science and Engineering,Btech,AI&DS,AI&DS,2401AI,"C,C,C,C,C,HS1","C,C,C,C,C,IKS","C,C,C,C,C,HS1","C,C,C,C,C,IDE1","C,C,C,C,IDE2","C,C,C,C,DE1","DE2,DE3,IDE3,HS2,SI,P1","DE4,DE5,DE6,P2",,,,
Chemical and Biochemical Engineering,Btech,Chemical and Biochemical Engineering,Chemical Engineering,2401CB,"C,C,C,C,C,HS1","C,C,C,C,C,IKS","C,C,C,C,C,HS1","C,C,C,C,C,IDE1","C,C,C,C,C,IDE2","C,C,C,C,C,DE1","DE2,DE3,ID3,HS2,SI,P1","DE4,DE5,DE6,P2",,,,
Civil and Environmental Engineering,Btech,B. Tech. in Civil Engineering and Minor in Infrastructure Engineering,Infrastructure Engineering,2401CE,"C,C,C,C,C,HS1","C,C,C,C,C,IKS","C,C,C,C,HS1","C,C,C,C,C,IDE1","C,C,C,C,IDE2","C,C,C,C,C,C","DE1,DE2,IDE3,HS2,SI,P1","DE3,DE4,DE5,P2",,,,
Chemistry,Btech,Chemical Science and Technology,CST,2401CT,"C,C,C,C,C,HS1","C,C,C,C,C,IKS","C,C,C,C,C,HS1","C,C,C,C,C,IDE1","C,C,C,C,C,IDE2","C,C,C,C,C,DE1","DE2,DE3,IDE3,HS2,SI,P1","DE4,DE5,DE6,P2",,,,
Electrical Engineering,Btech,Electrical and Electronics Engineering,,2401EE,"C,C,C,C,C,HS","C,C,C,C,C,IKS","C,C,C,C,C,HS1","C,C,C,C,C,IDE1","C,C,C,C,C,IDE2","C,C,C,C,C,C","DE1,DE2,HS2,IDE3,SI,P1","DE3,DE4,DE5,P2",,,,
Mathematics,Btech,Mathematics & Computing,,2401MC,"C,C,C,C,C,HS1","C,C,C,C,C,IKS","C,C,C,C,C,HS1","C,C,C,C,C,IDE1","C,C,C,C,C,IDE2","C,C,C,C,C,C","DE1,DE2,HS2,IDE3,SI,P1","DE3,DE4,DE5,P2",,,,
Electrical Engineering,BTech,Electronics and Communication Engineering,Communication,2401EC,"C,C,C,C,C,HS","C,C,C,C,C,IKS","C,C,C,C,C,HS1,m1","C,C,C,C,C,IDE1,m2","C,C,C,C,C,IDE2,m3","C,C,C,C,C,C,m4","DE1,DE2,IDE3,HS2,SI,P1","DE3,DE4,DE5,P2",,,,
MSE,Btech,Metallurgical and Materials Engineering,MME,2401MM,"C,C,C,C,C,HS1","C,C,C,C,C,IKS","C,C,C,C,C,HS1,m1","C,C,C,C,C,IDE1,m2","C,C,C,C,C,C,IDE2,m3","C,C,C,C,C,C,C,m4","DE1,DE2,HS2,IDE3,SI,P1","E3,E4,E5,P2",,,,
